Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
43575115,The Starless Sea,Erin Morgenstern,"Morgenstern, Erin",,"=""038554121X""","=""9780385541213""",0,4.11,Doubleday Books,Hardcover,498,2019,2019,,2019/08/02,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
39073387,Bloom,Kevin Panetta,"Panetta, Kevin",Savanna Ganucheau,"=""1626726418""","=""9781626726413""",4,4.12,First Second,Paperback,368,2019,2019,2019/03/11,2019/03/11,,,read,,,,1,,,0,,,,,
1455422,"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,"Herbert, Frank",,"=""042508003X""","=""9780425080030""",0,3.84,Berkley Science Fiction,Mass Market Paperback,423,1984,1981,,2019/12/06,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
27220309,The Metamorphosis,Franz Kafka,"Kafka, Franz",,"=""1843444615""","=""9781843444619""",2,3.81,Pulp! The Classics,Paperback,128,2016,1915,2019/12/06,2019/12/06,,,read,,,,1,,,0,,,,,
16219704,JavaScript and jQuery: Interactive Front-End Web Development,Jon Duckett,"Duckett, Jon",,"=""1118531647""","=""9781118531648""",3,4.34,Wiley,Paperback,640,2014,2013,2019/11/30,2019/11/30,,,read,,,,1,,,0,,,,,
10361330,HTML and CSS: Design and Build Websites,Jon Duckett,"Duckett, Jon",,"=""1118008189""","=""9781118008188""",3,4.32,Wiley,Paperback,514,2011,2011,2019/11/30,2019/11/30,,,read,,,,1,,,0,,,,,
1455421,"Children of Dune (Dune Chronicles, #3)",Frank Herbert,"Herbert, Frank",,"=""0425074994""","=""9780425074992""",5,3.93,Berkley,Mass Market Paperback,408,1984,1976,2019/11/30,2019/11/25,,,read,,,,1,,,0,,,,,
43812079,Talking to Strangers: What We Should Know about the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",5,4.04,Allen Lane,Hardcover,320,2019,2019,2019/07/25,2019/07/23,,,read,,,,1,,,0,,,,,
43798285,The Institute,Stephen King,"King, Stephen",,"=""1982110562""","=""9781982110567""",0,4.22,Scribner,Hardcover,561,2019,2019,,2019/11/23,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
43317567,Space Invaders,Nona Fernández,"Fernández, Nona",Natasha Wimmer,"=""1644450070""","=""9781644450079""",4,3.96,Graywolf Press,Paperback,96,2019,2013,2019/11/13,2019/11/12,to-re-read,to-re-read (#3),read,,,,1,,,0,,,,,
